ID,uDay,uTime,uName,uTeacher,Day,Time,Name,Status,SignTime,dtStart,dtEnd,dtSignTime,Link
november23tuesday6:15am-7:15amspeed&power(e)â°,Tuesday23,6:15am-7:15am,Speed & Power (E) Â°,Jennifer H.,,,,,,2021-11-23 06:15:00,2021-11-23 07:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12410356/11/23/2021
november23tuesday9:00am-10:00amaquabootcamp(e),Tuesday23,9:00am-10:00am,Aqua Bootcamp (E),Laurinda L.,,,,,,2021-11-23 09:00:00,2021-11-23 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12455507/11/23/2021
november23tuesday9:00am-10:00amessentials(b),Tuesday23,9:00am-10:00am,Essentials (B),Dorothy G.,,,,,,2021-11-23 09:00:00,2021-11-23 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12515577/11/23/2021
november23tuesday9:15am-10:15amspeed&power(e)â°,Tuesday23,9:15am-10:15am,Speed & Power (E) Â°,Sheri-Lynn D.,,,,,,2021-11-23 09:15:00,2021-11-23 10:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12483201/11/23/2021
november23tuesday9:30am-10:30ambodysculpt(e),Tuesday23,9:30am-10:30am,Body Sculpt (E),Elena  T.,,,,,,2021-11-23 09:30:00,2021-11-23 10:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12403522/11/23/2021
november23tuesday10:15am-11:15ampilates(e),Tuesday23,10:15am-11:15am,Pilates (E),Gillian L.,,,,,,2021-11-23 10:15:00,2021-11-23 11:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12460225/11/23/2021
november23tuesday10:30am-11:30amzumbaâ®(e),Tuesday23,10:30am-11:30am,ZumbaÂ® (E),Samantha  B.(sub for Tova  D.),,,,,,2021-11-23 10:30:00,2021-11-23 11:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12413839/11/23/2021
november23tuesday12:00pm-1:00pmtrainingforrunningseminar,Tuesday23,12:00pm-1:00pm,Training for Running Seminar,Staff,11/23/2021,12:00pm - 1:00pm,Training for Running Seminar,Available,,2021-11-23 12:00:00,2021-11-23 13:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12502858/11/23/2021
november23tuesday12:10pm-12:50pmbootcamp(e),Tuesday23,12:10pm-12:50pm,Boot Camp (E),Elena  T.,11/23/2021,12:10pm - 12:50pm,Boot Camp (E),Available,,2021-11-23 12:10:00,2021-11-23 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12411555/11/23/2021
november23tuesday12:10pm-12:50pmmovatibarrephysique(e),Tuesday23,12:10pm-12:50pm,Movati Barre Physique (E),Louise  A.,11/23/2021,12:10pm - 12:50pm,Movati Barre Physique (E),Available,,2021-11-23 12:10:00,2021-11-23 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12422859/11/23/2021
november23tuesday12:10pm-12:50pmspeed&power(e),Tuesday23,12:10pm-12:50pm,Speed & Power (E),Peter C.,,,,,,2021-11-23 12:10:00,2021-11-23 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12483210/11/23/2021
